MWCO-SHAP,CA-SHAP,Size-SHAP,logKow-SHAP,Init_conc-SHAP,Pres-SHAP,IS-SHAP,charge_product-SHAP,
2.6908445,0.43688232,-0.5741458,-3.2168565,0.6514345,-0.6051171,1.1283509,4.1051536,
2.090816,0.26010254,-0.092153,-0.2529585,0.71406454,-0.0631364,1.2000055,1.9625738,
1.9607297,0.22207017,-1.4983782,-0.1618426,1.2983699,0.07107157,0.945934,2.9994774,
1.570071,0.0727919,0.0768555,0.6986464,0.24487461,-0.0562416,1.2185583,2.0665765,
2.3913403,0.5305783,-2.8028078,-2.423979,1.9487826,-0.409787,1.3541112,3.4442513,
1.620417,0.20449217,-1.8647147,0.3537317,0.32984936,-0.2969317,1.580522,2.5554063,
1.8268676,0.09352154,-0.3392352,0.7489081,-0.5783302,-0.1324523,1.2770358,2.1036818,
1.6083757,0.09464375,-0.501387,0.9577918,-0.1969815,-0.0319463,1.3616018,2.053224,
1.4804474,0.2035531,0.0467981,0.70045537,0.5927944,-0.2399316,1.2997673,1.4332216,
1.4911427,0.04280597,0.65876913,1.0727179,0.14783952,-0.367428,1.4998899,1.5364206,
2.5916336,0.23818392,-0.6625175,-2.9627168,1.8919896,-0.5558568,-0.3283449,3.6778917,
2.014626,-0.0205376,-0.0209306,-0.2355528,0.15589803,0.01661262,-0.0136986,1.9965217,
2.002061,-0.0358275,-1.3246119,-0.0712861,1.2577661,0.00732309,-0.1317034,2.799916,
1.8877438,-0.1386728,-0.0514984,0.6723022,1.2294185,0.0044456,-0.353024,2.5193331,
2.1912303,0.24976407,-3.3238587,-2.7646492,-0.3800321,-0.4921246,-0.5610254,3.583764,
1.3558618,-0.042361,-1.9164667,0.34789166,0.94213194,-0.3839441,-0.3215016,2.2300456,
1.6055582,-0.1672072,-0.4389501,0.6395954,0.278724,-0.0829878,-0.44542,1.7952363,
1.4935696,-0.1744737,-0.5170326,0.8929813,-0.1655663,0.07813776,-0.2970256,1.8073717,
1.7538944,0.03224618,0.01698664,0.61535734,-0.0967382,-0.2715883,-0.4878459,1.7248856,
1.7478068,-0.1759909,0.44969034,0.63195044,0.68136555,-0.3195387,-0.3763398,1.8558396,
-0.3353062,0.46674624,2.157367,-7.0471845,4.1115923,0.84770095,-0.7400577,3.0930445,
-1.5454229,0.40166283,-1.8769332,-3.291018,0.8916301,0.68908757,0.45917016,4.6509323,
-1.6754845,0.36465898,-0.5242884,-3.9257538,2.73216,0.79455364,0.4954383,5.3616834,
-1.0056032,0.07462835,-0.5203877,-0.8071447,0.94952387,0.52150613,0.33409408,2.9097798,
-0.712362,-0.0158851,-0.2095365,0.73080635,0.37904388,0.5755474,0.5316156,2.594574,
-0.6397389,0.00499179,0.11991274,1.0215497,0.85596585,0.5889396,0.6065114,2.1447663,
-0.0981116,0.12512986,0.3667955,1.2335519,0.19392203,0.2898791,0.6533663,1.592495,
-0.8782013,0.06458159,-1.5076289,0.3996891,1.5848447,0.70058644,0.5809185,3.4954062,
-0.6716263,0.00224417,-0.7063462,0.92841136,0.95229065,0.59846187,0.716206,2.9770935,
-0.5810096,-0.0293726,0.774746,1.2422117,0.7799803,0.7035868,0.7882851,2.3598533,
-1.4005183,0.3650409,-1.9230212,-2.9430578,0.88449377,0.79520833,-0.7175246,4.6535583,
-1.5166774,0.3251487,-0.6180018,-3.5529823,2.5853367,0.9111528,-0.8935078,5.3538766,
-0.9830674,0.05481654,-0.443781,-0.7240308,0.9799451,0.64786637,-1.0508233,2.9808223,
-0.6460176,-0.062242,-0.0645084,0.74803287,0.3964196,0.7056643,-0.8345726,2.7106192,
-0.5639918,-0.041195,0.22907834,0.9675022,0.7507034,0.6830654,-0.9536912,2.3280408,
-0.0521119,0.13189076,0.5225746,1.1991667,0.28455484,0.36592522,-0.7994777,1.7794725,
-0.8558887,0.00939111,-1.5811609,0.38623232,1.4095273,0.7890908,-1.25226,3.4867406,
-0.6454295,-0.047157,-0.6648788,0.91840976,0.8071099,0.71595496,-0.9471852,3.028781,
-0.5336087,-0.0515729,0.6424849,1.1017056,0.75156426,0.7594145,-1.0701095,2.5526605,
1.4772502,-0.3616104,-0.9172757,0.7308535,0.01255926,0.17017895,0.9265294,1.981892,
1.5704054,-0.3519304,-0.3332739,0.84225553,-0.4768534,0.27267724,0.98631835,1.8474933,
1.4148091,-0.2249792,0.62969875,1.0953038,-0.7056055,0.17064312,1.0518366,1.7685174,
-2.654585,-0.1232431,-4.329463,-8.139909,-0.0720988,-2.9143727,1.2273111,-2.9639907,
-3.9641604,-2.0663562,-0.1643066,-8.769191,-5.51411,-1.166065,-0.1956643,-1.3912983,
0.5613567,1.5903461,-1.1595567,-12.079275,0.40601704,-0.5711919,1.4680024,3.7360997,
-0.5420344,0.7260236,2.0546253,-8.580754,0.5756008,1.1230762,1.3299142,3.037917,
-0.9339817,-0.0376649,-2.7695308,0.5440943,2.8789074,-0.8910505,1.9015075,3.8715813,
-1.4256291,-0.0299338,-0.8243327,-0.5352784,3.2108953,-0.9831589,2.0089455,2.1732385,
-1.5630982,-1.2957296,-0.4757347,1.2677907,1.8155813,0.5047774,1.7883797,2.7769866,
1.5555362,0.89694875,-1.370555,0.28630462,2.1601212,0.28162652,1.8831999,0.9468509,
-1.2975231,-0.1424426,-1.994289,0.36665815,2.87995,-0.8384045,2.1169152,2.8370922,
